StIDSecID,Sample Number,Rater,StreetName,Begin Location,End Location,Sample Length,Sample Width,Date,Sample Notes,Photos,QA,Special,Sample Area,Alligator L,Alligator M,Alligator H,Block L,Block M,Block H,Distortion L,Distortion M,Distortion H,LongTrans L,LongTrans M,LongTrans H,Patch L,Patch M,Patch H,Raveling L,Raveling M,Raveling H,RuttingDepression L,RuttingDepression M,RuttingDepression H,Weathering L,Weathering M,Weathering H,Calculated PCI
204 - 0060 ,1, QES , MARGOT PL , DRY CREEK RD , S END ,100,36, 06-10-2019  11:01:25 ,  , IMG_20191006_105954.jpg     IMG_20191006_110053.jpg      ,  , False ,3600,0,330,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,1600,2000,0,48.40885064238776
204 - 0190 ,1, QES , BOOKSIN AV , CURTNER AV , DRY CREEK RD ,100,36, 06-10-2019  10:52:34 ,  , IMG_20191006_105025.jpg     IMG_20191006_105106.jpg      ,  , False ,3600,50,40,0,0,0,0,0,0,0,0,20,0,70,0,0,0,0,0,0,0,0,1765,1765,0,66.57224958877725
204 - 0190 ,2, QES , BOOKSIN AV , CURTNER AV , DRY CREEK RD ,100,36, 06-10-2019  10:55:57 ,  , IMG_20191006_105411.jpg     IMG_20191006_105455.jpg      ,  , False ,3600,0,10,0,1000,0,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,1570,1570,0,69.39553645068646
299 - 3950 ,1, QES , CAMPBELL AV , MERIDIAN AV , HURST AV ,50,60, 03-10-2019  12:50:51 ,  , IMG_20191003_124926.jpg     IMG_20191003_125006.jpg      ,  , False ,3000,0,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,2500,500,0,75.23399692864882
299 - 3950 ,2, QES , CAMPBELL AV , MERIDIAN AV , HURST AV ,50,60, 03-10-2019  12:53:39 ,  , IMG_20191003_125202.jpg     IMG_20191003_125246.jpg      ,  , False ,3000,0,0,0,0,0,0,0,0,0,70,0,0,350,0,0,0,0,0,0,0,0,2150,500,0,76.651932321405
299 - 3950 ,3, QES , CAMPBELL AV , MERIDIAN AV , HURST AV ,50,60, 03-10-2019  12:56:05 ,  , IMG_20191003_125453.jpg     IMG_20191003_125534.jpg      ,  , False ,3000,0,0,0,0,0,0,0,0,0,0,120,0,300,0,0,0,0,0,0,0,0,2200,500,0,70.36968745879724
307 - 0010 ,1, QES , FORD RD , MONTEREY RD , MAYLAND AV ,50,56, 01-10-2019  07:43:26 , width 56 , IMG_20191001_074048.jpg     IMG_20191001_074246.jpg      ,  , False ,2800,0,0,0,0,0,0,0,0,0,0,10,0,400,0,0,0,0,0,0,0,0,1200,1200,0,74.57367578870186
307 - 0010 ,2, QES , FORD RD , MONTEREY RD , MAYLAND AV ,50,56, 01-10-2019  07:45:34 , width 56 , IMG_20191001_074433.jpg     IMG_20191001_074502.jpg      ,  , False ,2800,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,1400,1400,0,84.68309051096136
307 - 0020 ,1, QES , FORD RD , MAYLAND AV , SILVER LEAF RD ,50,58, 01-10-2019  07:38:50 ,  , IMG_20191001_073731.jpg     IMG_20191001_073802.jpg      ,  , False ,2900,0,0,0,0,250,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,1450,1450,0,65.63831562448668
307 - 0030 ,1, QES , SILVER LEAF RD , FORD RD , ROSEWELL WY ,100,30, 01-10-2019  07:32:22 ,  , IMG_20191001_073110.jpg     IMG_20191001_073201.jpg      ,  , False ,3000,0,120,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1500,1500,0,58.179742564390466
307 - 0030 ,2, QES , SILVER LEAF RD , FORD RD , ROSEWELL WY ,100,30, 01-10-2019  07:34:55 ,  , IMG_20191001_073347.jpg     IMG_20191001_073435.jpg      ,  , False ,3000,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,1000,2000,0,77.04626324919505
307 - 0040 ,1, QES , SILVER LEAF RD , ROSEWELL WY , TENNANT AV ,100,36, 01-10-2019  07:13:26 ,  , IMG_20191001_071158.jpg     IMG_20191001_071241.jpg      ,  , False ,3600,0,20,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,1800,1800,0,77.04573824106029
307 - 0040 ,2, QES , SILVER LEAF RD , ROSEWELL WY , TENNANT AV ,100,36, 01-10-2019  07:15:57 ,  , IMG_20191001_071453.jpg     IMG_20191001_071536.jpg      ,  , False ,3600,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1800,1800,0,86.11371812706314
307 - 0040 ,3, QES , SILVER LEAF RD , ROSEWELL WY , TENNANT AV ,100,36, 01-10-2019  07:20:22 ,  , IMG_20191001_071913.jpg     IMG_20191001_071958.jpg      ,  , False ,3600,0,0,0,0,0,0,0,0,0,86,0,0,20,0,0,0,0,0,0,0,0,1790,1790,0,83.46826210548731
307 - 0040 ,4, QES , SILVER LEAF RD , ROSEWELL WY , TENNANT AV ,100,36, 01-10-2019  07:23:05 ,  , IMG_20191001_072158.jpg     IMG_20191001_072240.jpg      ,  , False ,3600,0,20,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,1800,1800,0,73.17081128775963
307 - 0040 ,5, QES , SILVER LEAF RD , ROSEWELL WY , TENNANT AV ,100,36, 01-10-2019  07:26:16 ,  , IMG_20191001_072453.jpg     IMG_20191001_072536.jpg      ,  , False ,3600,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,1800,1800,0,80.29904359340269
307 - 0040 ,6, QES , SILVER LEAF RD , ROSEWELL WY , TENNANT AV ,100,36, 01-10-2019  07:27:42 ,  , IMG_20191001_072806.jpg     IMG_20191001_072846.jpg      ,  , False ,3600,0,10,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,1800,1800,0,79.49339026266918
307 - 0310 ,1, QES , FLINTWELL WY , SILVER LEAF RD , KNOLLWELL WY ,100,36, 29-09-2019  13:25:54 ,  , IMG_20190929_132452.jpg     IMG_20190929_132543.jpg      ,  , False ,3600,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,3600,0,83.58475026865344
307 - 0320 ,1, QES , FLINTWELL WY , KNOLLWELL WY , MONTEREY RD ,50,54, 29-09-2019  13:29:24 ,  , IMG_20190929_132811.jpg     IMG_20190929_132842.jpg      ,  , False ,2700,0,10,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,1350,1350,0,78.39705412084042
307 - 0420 ,1, QES , TENNANT AV , MONTEREY HY , SILVER LEAF RD ,100,36, 29-09-2019  13:18:09 ,  , IMG_20190929_131634.jpg     IMG_20190929_131716.jpg      ,  , False ,3600,0,0,0,0,0,0,0,0,0,0,20,0,1600,0,0,0,0,0,0,0,0,0,2000,0,64.3273161104207
307 - 0420 ,2, QES , TENNANT AV , MONTEREY HY , SILVER LEAF RD ,100,36, 29-09-2019  13:18:37 ,  , IMG_20190929_131950.jpg     IMG_20190929_132033.jpg      ,  , False ,3600,0,0,0,0,0,0,0,0,0,24,0,0,1600,0,0,0,0,0,0,0,0,0,2000,0,65.17874564803827
307 - 1170 ,1, QES , BASKING RIDGE AV , TENNANT AV , DANNA CT ,100,33, 29-09-2019  07:29:57 ,  , IMG_20190929_073100.jpg     IMG_20190929_073142.jpg      ,  , False ,3300,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,1650,1650,0,73.7036163378416
307 - 1170 ,2, QES , BASKING RIDGE AV , TENNANT AV , DANNA CT ,100,33, 29-09-2019  07:32:14 ,  , IMG_20190929_073359.jpg     IMG_20190929_073439.jpg      ,  , False ,3300,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1650,1650,0,80.45898347252012
307 - 1170 ,3, QES , BASKING RIDGE AV , TENNANT AV , DANNA CT ,100,33, 29-09-2019  07:35:19 ,  , IMG_20190929_073625.jpg     IMG_20190929_073710.jpg      ,  , False ,3300,40,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1650,1650,0,66.43576863018994
307 - 1170 ,4, QES , BASKING RIDGE AV , TENNANT AV , DANNA CT ,100,33, 29-09-2019  07:38:30 ,  , IMG_20190929_073951.jpg     IMG_20190929_074030.jpg      ,  , False ,3300,0,0,0,0,0,0,0,0,0,0,28,0,150,0,0,0,0,0,0,0,0,1575,1575,0,81.83786092933838
307 - 1170 ,5, QES , BASKING RIDGE AV , TENNANT AV , DANNA CT ,100,33, 29-09-2019  07:41:46 ,  , IMG_20190929_074310.jpg     IMG_20190929_074355.jpg      ,  , False ,3300,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,1650,1650,0,76.23083898820926
307 - 1175 ,1, QES , BASKING RIDGE AV , DANNA CT , S END ,100,33, 29-09-2019  07:18:11 ,  , IMG_20190929_071657.jpg     IMG_20190929_071746.jpg      ,  , False ,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1650,1650,0,86.68309051096136
307 - 1175 ,2, QES , BASKING RIDGE AV , DANNA CT , S END ,100,33, 29-09-2019  07:19:05 ,  , IMG_20190929_072024.jpg     IMG_20190929_072117.jpg      ,  , False ,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1650,1650,0,86.68309051096136
307 - 1175 ,3, QES , BASKING RIDGE AV , DANNA CT , S END ,100,33, 29-09-2019  07:22:03 ,  , IMG_20190929_072307.jpg     IMG_20190929_072348.jpg      ,  , False ,3300,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,1650,1650,0,78.82610171648808
307 - 1175 ,4, QES , BASKING RIDGE AV , DANNA CT , S END ,100,33, 29-09-2019  07:24:41 ,  , IMG_20190929_072541.jpg     IMG_20190929_072622.jpg      ,  , False ,3300,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1650,1650,0,85.85713456110105
307 - 1175 ,5, QES , BASKING RIDGE AV , DANNA CT , S END ,100,33, 29-09-2019  07:27:33 ,  , IMG_20190929_072806.jpg     IMG_20190929_072848.jpg      ,  , False ,3300,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,1650,1650,0,85.12220682720108
308 - 0010 ,1, QES , AVENIDA ESPANA , SANTA TERESA BL , VIA VISTA ,50,44, 27-09-2019  07:31:00 ,  , IMG_20190927_073136.jpg     IMG_20190927_073212.jpg      ,  , False ,2200,0,160,0,0,400,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,1100,1100,0,45.404160971689016
308 - 0010 ,2, QES , AVENIDA ESPANA , SANTA TERESA BL , VIA VISTA ,50,44, 27-09-2019  07:35:55 ,  , IMG_20190927_073426.jpg     IMG_20190927_073512.jpg      ,  , False ,2200,0,80,10,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,1100,1100,0,44.084759165706984
308 - 0020 ,1, QES , AVENIDA ESPANA , VIA VISTA , AVENIDA ROTELLA ,100,36, 27-09-2019  07:37:00 ,  , IMG_20190927_073725.jpg     IMG_20190927_073805.jpg      ,  , False ,3600,0,0,4,0,700,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,1800,1800,0,64.90483496019502
308 - 0020 ,2, QES , AVENIDA ESPANA , VIA VISTA , AVENIDA ROTELLA ,100,36, 27-09-2019  07:44:22 ,  , IMG_20190927_074148.jpg     IMG_20190927_074244.jpg      ,  , False ,3600,0,0,0,0,1300,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,1750,1750,60,62.377437573943816
308 - 0020 ,3, QES , AVENIDA ESPANA , VIA VISTA , AVENIDA ROTELLA ,100,36, 27-09-2019  07:44:35 ,  , IMG_20190927_074557.jpg     IMG_20190927_074640.jpg      ,  , False ,3600,0,300,0,0,900,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,1800,1800,0,43.63921604362356
308 - 0030 ,1, QES , AVENIDA ROTELLA , AVENIDA ESPANA , VIA DEL ORO ,100,36, 27-09-2019  07:48:12 ,  , IMG_20190927_074933.jpg     IMG_20190927_075027.jpg      ,  , False ,3600,0,220,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,1800,1800,0,48.62274233931872
308 - 0030 ,2, QES , AVENIDA ROTELLA , AVENIDA ESPANA , VIA DEL ORO ,100,36, 27-09-2019  07:54:55 ,  , IMG_20190927_075310.jpg     IMG_20190927_075415.jpg      ,  , False ,3600,0,150,20,0,0,0,0,0,0,0,130,0,60,0,0,0,0,0,0,0,0,1740,1800,0,46.281194175711995
308 - 0030 ,3, QES , AVENIDA ROTELLA , AVENIDA ESPANA , VIA DEL ORO ,100,36, 27-09-2019  07:55:23 ,  , IMG_20190927_075739.jpg     IMG_20190927_075824.jpg      ,  , False ,3600,0,150,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,1800,1800,0,57.174074112121346
308 - 0030 ,4, QES , AVENIDA ROTELLA , AVENIDA ESPANA , VIA DEL ORO ,100,36, 27-09-2019  08:03:51 ,  , IMG_20190927_080503.jpg     IMG_20190927_080550.jpg      ,  , False ,3600,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,1800,1800,0,73.39116009439678
